,ru,en
0,респ. Коми,Komi republic
1,Волгоградская обл.,Volgograd oblast
2,Владимирская обл.,Vladimir Oblast
3,респ. Удмуртия,The Udmurt Republic
4,Еврейская АО,The Jewish Autonomous Oblast
5,Ненецкий АО,Nenets Autonomous Okrug
6,Ханты-Мансийский АО,Khanty-Mansi Autonomous Okrug
7,респ. Карелия,The Republic of Karelia
8,Новосибирская обл.,Novosibirsk Oblast
9,Камчатский край,Kamchatka Krai
10,Калининградская обл.,Kaliningrad Oblast
11,Ставропольский край,Stavropol Krai
12,Пермский край,Perm Krai
13,респ. Алтай,The Altay Republic
14,Тульская обл.,Tula Oblast
15,респ. Саха (Якутия),The Republic of Sakha (Yakutia)
16,Краснодарский край,Krasnodar Krai
17,Орловская обл.,Oryol Oblast
18,Приморский край,Primorsky Krai
19,Ямало-Ненецкий АО,Yamalo-Nenets Autonomous Okrug
20,респ. Чувашия,The Chuvash Republic
21,респ. Дагестан,The Republic of Dagestan
22,Курганская обл.,Kurgan Oblast
23,респ. Кабардино-Балкария,The Kabardino-Balkariya Republic
24,Свердловская обл.,Sverdlovsk oblast
25,Красноярский край,Krasnoyarsk Krai
26,респ. Мордовия,The Republic of Mordovia
27,респ. Северная Осетия - Алания,The Republic of North Ossetia–Alania
28,Забайкальский край,Zabaykalsky Krai
29,респ. Адыгея,The Republic of Adygeya
30,Оренбургская обл.,Orenburg Oblast
31,респ. Марий-Эл,The Mari El Republic
32,Воронежская обл.,Voronezh Oblast
33,Амурская обл.,Amur Oblast
34,Хабаровский край,Khabarovsk Krai
35,респ. Калмыкия,The Republic of Kalmykia
36,Костромская обл.,Kostroma Oblast
37,Архангельская обл.,Arkhangelsk Oblast
38,Саратовская обл.,Saratov Oblast
39,Курская обл.,Kursk Oblast
40,Иркутская обл.,Irkutsk Oblast
41,респ. Карачаево-Черкесия,The Karachay-Cherkess Republic
42,Псковская обл.,Pskov oblast
43,респ. Татарстан,The Republic of Tatarstan
44,Сахалинская обл.,Sakhalin Oblast
45,респ. Бурятия,The Republic of Buryatia
46,Липецкая обл.,Lipetsk Oblast
47,респ. Башкортостан,The Republic of Bashkortostan
48,Брянская обл.,Bryansk oblast
49,Пензенская обл.,Penza Oblast
50,респ. Ингушетия,The Republic of Ingushetia
51,Алтайский край,Altai Krai
52,Тверская обл.,Tver Oblast
53,респ. Хакасия,The Republic of Khakassia
54,Кировская обл.,Kirov Oblast
55,Нижегородская обл.,Nizhny Novgorod Oblast
56,Чукотский АО,Chukotsky Autonomous Okrug
57,Магаданская обл.,Magadan Oblast
58,респ. Тыва,The Tuva Republic
59,Калужская обл.,Kaluga Oblast
60,респ. Чечня,The Chechen Republic
61,Ярославская обл.,Yaroslavl Oblast
62,Челябинская обл.,Chelyabinsk Oblast
63,Мурманская обл.,Murmansk Oblast
64,Тюменская обл.,Tyumen Oblast
65,Тамбовская обл.,Tambov Oblast
66,Новгородская обл.,Novgorod Oblast
67,Самарская обл.,Samara Oblast
68,Кемеровская обл.,Kemerovo Oblast
69,респ. Крым,The Republic of Crimea
70,Ростовская обл.,Rostov Oblast
71,Ивановская обл.,Ivanovo Oblast
72,Рязанская обл.,Ryazan Oblast
73,Вологодская обл.,Vologda Oblast
74,Белгородская обл.,Belgorod Oblast
75,Астраханская обл.,Astrakhan Oblast
76,Томская обл.,Tomsk Oblast
77,Московская обл.,Moscow Oblast
78,Омская обл.,Omsk Oblast
79,Ленинградская обл.,Leningrad Oblast
80,Смоленская обл.,Smolensk Oblast
81,Ульяновская обл.,Ulyanovsk Oblast
